participant_id,role,tenure,engagement_score,open_comment
1033,Individual contributor,10+ years,4,The hybrid policy is the right balance. I appreciate the trust.
1048,Individual contributor,10+ years,5,asdf
1003,Director,<1 year,3,I have been in this role for three years and I do not know what the next step looks like for me.
1022,Individual contributor,1-3 years,3,Our tooling is a decade behind. Simple tasks take hours instead of minutes.
1051,Director,<1 year,5,It's been good overall. Some things could be better.
1019,Individual contributor,<1 year,3,The pace has been unsustainable since Q1. Something has to give.
1038,Manager,10+ years,4,Team culture is strong. People help each other and disagreements are healthy.
1029,Senior IC,10+ years,3,The bonus structure is opaque. I do not know what would change the number.
1042,Manager,10+ years,5,We celebrate wins well. We do not learn from losses.
1001,Individual contributor,1-3 years,2,I want a clearer growth path. The promotion criteria are vague and inconsistent.
1040,Director,5-10 years,4,There is too much politics at the senior level and it trickles down.
1043,Individual contributor,<1 year,5,New hires are integrated thoughtfully. That has improved a lot.
1030,Individual contributor,1-3 years,3,Equity vesting is too long. Four years feels like forever.
1044,Individual contributor,3-5 years,2,n/a
1049,Senior IC,1-3 years,2,good
1026,Director,1-3 years,2,Async-first would change my life. Right now everything is a meeting.
1034,Senior IC,3-5 years,5,Forcing five days in office would push me to look elsewhere.
1015,Individual contributor,<1 year,3,Skip-levels are scheduled and then never happen. I do not know my manager's manager.
1012,Manager,3-5 years,4,One-on-ones get canceled often. I do not feel like a priority.
1013,Senior IC,1-3 years,5,My manager gives clear feedback and I always know where I stand.
1010,Individual contributor,1-3 years,3,I have a new manager every six months. That is the biggest barrier to progress.
1027,Manager,1-3 years,2,Documentation is scattered. Onboarding new people is harder than it should be.
1023,Manager,5-10 years,3,We have too many meetings and not enough time to do the actual work.
1047,Director,<1 year,,I dont know
1025,Individual contributor,1-3 years,2,Switching between three different systems to do one task is exhausting.
1018,Individual contributor,10+ years,1,I am juggling four projects at once. None of them get my best work.
1007,Director,3-5 years,2,The growth path is unclear and that is the main reason I am thinking about leaving.
1014,Manager,10+ years,5,"I want my manager to advocate for me in promotion conversations, not just nod along."
1046,Individual contributor,5-10 years,2,no comment
1028,Manager,1-3 years,2,Pay is below market. I get recruiter emails offering 25 percent more every week.
1039,Individual contributor,5-10 years,4,Psychological safety is real on my team. I can raise hard issues without fear.
1017,Individual contributor,5-10 years,3,We need more headcount. Two people left and were not backfilled.
1011,Individual contributor,<1 year,4,My manager protects our team's focus. That is rare and I appreciate it.
1031,Director,1-3 years,3,Compensation is fair and that is one reason I am still here.
1036,Director,3-5 years,4,I want a clearer policy on remote work. Right now it varies by manager.
1009,Manager,1-3 years,3,My manager is supportive but stretched thin across too many reports.
1035,Individual contributor,1-3 years,5,Flexibility around school pickup is the single best thing about this job.
1005,Individual contributor,5-10 years,3,I love what I do but I cannot see where this leads in five years.
1050,Individual contributor,1-3 years,5,.
1041,Manager,10+ years,4,Team is great but I do not feel connected to the broader company.
1006,Senior IC,<1 year,3,Stretch assignments would help me grow. I am not getting them.
1037,Manager,1-3 years,4,Remote one day a week is not enough. The commute eats my productivity.
1045,Director,<1 year,,everything is fine
1004,Senior IC,3-5 years,2,Promotions feel political. I see peers move up without clear performance differences.
1016,Director,1-3 years,2,Workload has crept up steadily. I am working evenings to keep up.
1020,Individual contributor,<1 year,3,Workload is fine right now. I have capacity to take on growth projects.
1024,Manager,5-10 years,3,The approval process for anything new is brutal. Innovation dies in committee.
1008,Individual contributor,3-5 years,2,Mentorship would change everything. I have asked twice and nothing has come of it.
1002,Individual contributor,1-3 years,2,"Career conversations only happen once a year. I need ongoing feedback, not an annual review."
1032,Individual contributor,1-3 years,2,Cost-of-living adjustments have lagged inflation for two years running.
1021,Individual contributor,1-3 years,2,Burnout is real on my team. We are all running too hot for too long.
